law360_firm_id,law360_firm_name,dupe_LM,combine_LM,qualify_LM,lm_firm_id,lm_firm_name,yoda_id,yoda_guid,yoda_url,Law Firm,Total Cases,As Plaintiff,As Defendant,Districts,States / Territories Count,States / Territories Names,Judges,Antitrust,Bankruptcy,Civil Rights,Consumer Protection,Contracts,Copyright,Employment,Environmental,ERISA,False Claims,Insurance,Patent,Product Liability,Securities,Surety Bond,Tax,Torts,Trademark,Trade Secret,D.Me.,D.Mass.,D.N.H.,D.R.I.,D.P.R.,D.Conn.,E.D.N.Y.,N.D.N.Y.,S.D.N.Y.,W.D.N.Y.,D.Vt.,D.Del.,D.N.J.,E.D.Pa.,M.D.Pa.,W.D.Pa.,D.V.I.,D.Md.,E.D.N.C.,M.D.N.C.,W.D.N.C.,D.S.C.,E.D.Va.,W.D.Va.,N.D.W.Va.,S.D.W.Va.,E.D.La.,M.D.La.,W.D.La.,N.D.Miss.,S.D.Miss.,E.D.Tex.,N.D.Tex.,S.D.Tex.,W.D.Tex.,E.D.Ky.,W.D.Ky.,E.D.Mich.,W.D.Mich.,N.D.Ohio,S.D.Ohio,E.D.Tenn.,M.D.Tenn.,W.D.Tenn.,C.D.Ill.,N.D.Ill.,S.D.Ill.,N.D.Ind.,S.D.Ind.,E.D.Wis.,W.D.Wis.,E.D.Ark.,W.D.Ark.,N.D.Iowa,S.D.Iowa,D.Minn.,E.D.Mo.,W.D.Mo.,D.Neb.,D.N.D.,D.S.D.,D.Alaska,D.Ariz.,C.D.Cal.,E.D.Cal.,N.D.Cal.,S.D.Cal.,D.Guam,D.Haw.,D.Idaho,D.Mont.,D.Nev.,D.N.Mar.I.,D.Or.,E.D.Wash.,W.D.Wash.,D.Colo.,D.Kan.,D.N.M.,E.D.Okla.,N.D.Okla.,W.D.Okla.,D.Utah,D.Wyo.,M.D.Ala.,N.D.Ala.,S.D.Ala.,M.D.Fla.,N.D.Fla.,S.D.Fla.,M.D.Ga.,N.D.Ga.,S.D.Ga.,D.D.C.
BOO1724,Bookoff McAndrews,,,0,130100855,Bookoff McAndrews,157655213,urn:entity:lfm-157655213,https://yoda.lexisai.aws.lexis.com/lawfirms/157655213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA3758,Chartwell Law Offices,,,0,,,21680250,urn:entity:lfm-21680250,https://yoda.lexisai.aws.lexis.com/lawfirms/21680250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAN1847,Hanna Brophy,,,0,,,63189,urn:entity:lfm-63189,https://yoda.lexisai.aws.lexis.com/lawfirms/63189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THO6712,Thomas J. Henry Injury Attorneys,,,0,,,1309092,urn:entity:lfm-1309092,https://yoda.lexisai.aws.lexis.com/lawfirms/1309092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Brown,merger,DEN8962,,18964221,"Davis, Brown, Koehn, Shors & Roberts",239417,urn:entity:lfm-239417,https://yoda.lexisai.aws.lexis.com/lawfirms/239417,"Davis, Brown, Koehn, Shors & Roberts",29,8,20,4,3,"Illinois, Iowa, Texas",12,0,0,1,2,4,1,6,0,1,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Durham Jones & Pinegar,merger,DEN8962,,,,,,,Durham Jones & Pinegar,40,20,18,9,8,"Arizona, California, Montana, Nevada, New Mexico, New York, Utah, Wisconsin",20,0,1,2,4,12,2,2,0,2,0,0,3,0,1,1,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
,Robinson Brog Leinwand Greene Genovese & Gluck,merger,LEE6006,,,,,,,Robinson Brog Leinwand Greene Genovese & Gluck,33,8,17,4,3,"Florida, New Jersey, New York",29,0,8,4,1,5,1,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Vandeventer Black,merger,WOO5905,,,,,,,Vandeventer Black,73,30,43,13,9,"California, Florida, Illinois, Massachusetts, New York, North Carolina, South Carolina, Texas, Virginia",38,0,0,1,5,17,2,4,1,1,1,0,3,0,0,10,1,4,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,55,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
ADA9558,Adams and Reese,,,,4378,Adams & Reese,28706,urn:entity:lfm-28706,https://yoda.lexisai.aws.lexis.com/lawfirms/28706,Adams & Reese,841,149,615,37,22,"Alabama, Arkansas, California, Delaware, District of Columbia, Florida, Georgia, Illinois, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Mississippi, Missouri, New Jersey, New York, North Carolina, South Carolina, Tennessee, Texas, Virgin Islands",218,11,36,17,82,106,8,100,1,4,3,133,4,24,6,14,0,148,22,12,0,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,3,1,0,1,54,0,0,0,0,175,44,80,16,43,7,8,65,11,0,1,0,1,0,0,21,29,46,0,5,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23,93,4,58,0,13,0,2
AKE5064,Akerman,,,,51797662,Akerman,648825,urn:entity:lfm-648825,https://yoda.lexisai.aws.lexis.com/lawfirms/648825,Akerman,"1,500",201,"1,243",75,44,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Utah, Virginia, Washington, West Virginia, Wisconsin, Wyoming",493,6,49,74,301,227,17,170,1,23,5,88,28,17,30,5,5,32,60,46,1,14,2,2,1,3,62,1,103,2,0,9,25,13,1,4,0,5,2,5,6,8,10,1,1,0,5,8,4,2,1,31,50,103,59,0,3,5,0,7,2,3,1,1,4,49,2,4,5,8,2,3,1,0,0,4,0,4,0,0,0,0,10,76,17,33,13,0,1,1,2,93,0,4,1,5,18,4,7,0,0,0,18,2,0,6,1,192,17,297,2,27,0,1
AKI5112,Akin Gump,,,,1948224,Akin Gump Strauss Hauer & Feld,105581,urn:entity:lfm-105581,https://yoda.lexisai.aws.lexis.com/lawfirms/105581,Akin Gump Strauss Hauer & Feld,352,112,181,42,26,"Alabama, Arizona, California, Colorado, Delaware, District of Columbia, Florida, Illinois, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Missouri, New Jersey, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Texas, Virginia, Virgin Islands, Washington, Wisconsin",213,6,40,4,16,43,2,34,1,9,0,1,32,3,26,0,0,9,9,3,0,1,0,0,0,0,4,0,53,5,0,34,7,4,1,1,1,3,0,0,0,0,6,0,0,0,2,0,2,0,0,3,9,14,4,1,1,1,0,8,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,2,25,5,33,5,0,0,0,0,0,0,2,0,1,3,0,0,1,0,1,0,0,0,0,1,0,2,11,0,0,0,83
ALL2087,Allen & Overy,,,,,,,,,Allen & Overy,68,17,48,17,13,"California, Delaware, District of Columbia, Florida, Georgia, Massachusetts, Michigan, Minnesota, New York, Ohio, Pennsylvania, Rhode Island, Texas",49,7,1,0,0,11,4,2,0,0,0,0,29,0,5,0,0,0,1,2,0,1,0,2,0,0,0,1,13,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5
ALL8866,Allen Matkins,,,,,,93332,urn:entity:lfm-93332,https://yoda.lexisai.aws.lexis.com/lawfirms/93332,Allen Matkins Leck Gamble Mallory & Natsis,105,41,50,9,6,"Arizona, California, Colorado, Nevada, Pennsylvania, Texas",57,1,5,10,1,12,0,12,7,1,0,5,0,0,3,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,3,21,18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALS9443,Alston & Bird,,,,34329,Alston & Bird,293143,urn:entity:lfm-293143,https://yoda.lexisai.aws.lexis.com/lawfirms/293143,Alston & Bird,787,166,570,74,43,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Utah, Virginia, Washington, West Virginia, Wisconsin",404,12,8,20,71,135,19,43,1,33,10,62,159,19,28,1,4,10,48,16,1,2,1,0,1,4,21,3,42,2,0,19,15,4,0,2,0,9,6,7,17,6,13,3,0,1,4,0,2,1,1,52,18,10,50,1,5,3,1,7,3,2,5,5,4,19,1,0,0,4,0,2,1,0,0,10,2,6,1,0,0,0,11,97,14,43,14,0,1,1,2,7,0,2,0,7,3,3,1,1,1,1,1,0,0,3,0,27,1,17,22,90,4,14
ARC3828,Archer,,,,,,892552,urn:entity:lfm-892552,https://yoda.lexisai.aws.lexis.com/lawfirms/892552,Archer,214,35,138,17,14,"California, Connecticut, Delaware, District of Columbia, Georgia, Louisiana, Nevada, New Jersey, New York, Pennsylvania, South Carolina, Texas, Utah, Wisconsin",104,0,34,13,2,43,1,33,1,1,2,10,5,8,1,0,1,16,5,4,0,0,0,0,0,1,7,0,30,0,0,14,89,49,4,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
ARE7461,Arent Fox,,,,,,,,,ArentFox Schiff,523,128,350,57,36,"Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Illinois, Indiana, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Utah, Virginia, Virgin Islands, Washington, Wisconsin",312,8,14,36,20,71,28,33,5,8,1,59,56,33,19,1,1,10,38,13,0,20,0,1,0,2,20,2,74,0,0,26,34,4,0,2,3,9,0,1,5,2,8,1,0,0,2,1,0,0,0,4,7,4,9,0,0,9,5,2,6,2,0,0,1,48,5,1,7,1,1,1,0,0,0,1,1,1,2,0,0,0,5,89,6,22,8,0,1,0,1,2,0,0,0,3,2,0,2,0,0,0,2,0,0,0,0,7,1,13,0,6,0,18
ARM1143,Armstrong Teasdale,,,,479700,Armstrong Teasdale,292214,urn:entity:lfm-292214,https://yoda.lexisai.aws.lexis.com/lawfirms/292214,Armstrong Teasdale,559,124,423,58,39,"Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Washington, Wisconsin",240,3,6,11,50,112,15,42,5,9,8,46,51,33,12,1,0,33,21,17,2,11,0,3,1,1,6,1,16,0,0,22,6,13,1,2,0,2,0,0,1,7,4,0,0,0,0,0,0,0,0,9,6,3,13,0,1,4,2,2,2,0,1,0,0,12,26,0,0,0,2,2,3,0,2,3,106,92,2,0,1,0,1,17,2,3,2,0,0,0,1,43,0,1,0,1,20,35,1,0,1,2,25,0,0,0,0,2,1,6,0,1,0,1
ARN5072,Arnall Golden,,,,,,,,,Arnall Golden Gregory,163,83,70,43,33,"Alabama, Arizona, California, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Indiana, Iowa, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Nebraska, Nevada, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, West Virginia",109,1,8,4,18,40,11,19,0,20,2,7,5,2,3,0,0,1,19,8,0,2,1,0,0,1,0,0,4,0,0,1,1,3,0,0,0,1,0,0,2,1,8,2,1,0,3,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,2,28,0,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0,2,1,53,5,6
ARN6021,Arnold & Porter,,,,4524,Arnold & Porter Kaye Scholer,113129,urn:entity:lfm-113129,https://yoda.lexisai.aws.lexis.com/lawfirms/113129,Arnold & Porter Kaye Scholer,622,140,411,68,41,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Massachusetts, Minnesota, Missouri, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Utah, Virginia, Virgin Islands, Washington, Wisconsin",339,34,16,24,6,73,11,10,16,2,6,5,85,69,16,1,1,66,29,12,0,13,0,1,0,3,24,2,66,1,0,25,19,8,0,4,2,16,2,0,2,5,15,5,0,0,5,1,1,0,0,15,4,11,15,0,1,0,0,2,2,1,1,1,1,17,5,1,1,3,1,2,0,0,1,3,1,2,0,1,0,0,7,98,10,59,8,0,3,2,0,1,0,3,0,8,14,3,1,0,1,1,2,0,1,1,1,13,5,14,0,1,0,53
ATH8646,Atheria Law PC,,,,,,,,,Atheria Law,2,1,1,2,1,California,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATK5057,Atkinson Andelson,,,,102453,Atkinson Andelson Loya Ruud & Romo,72563,urn:entity:lfm-72563,https://yoda.lexisai.aws.lexis.com/lawfirms/72563,Atkinson Andelson Loya Ruud & Romo,161,15,146,7,4,"California, Colorado, Connecticut, Missouri",68,0,0,50,1,15,3,44,0,10,0,0,1,4,0,6,0,0,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105,13,29,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXI4590,Axinn Veltrop,,,,,,,,,"Axinn, Veltrop & Harkrider",61,21,36,22,19,"California, Connecticut, Delaware, District of Columbia, Georgia, Illinois, Maryland, Michigan, Minnesota, New Hampshire, New Jersey, New York, Oklahoma, Oregon, Pennsylvania, Tennessee, Texas, Virginia, Washington",50,15,1,0,0,8,4,2,0,0,1,1,23,0,0,1,0,0,2,1,0,0,1,0,0,5,2,0,6,0,0,9,5,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,7,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
BAB1376,Babst Calland,,,,,,,,,"Babst, Calland, Clements & Zomnir",145,26,112,17,13,"Arizona, Connecticut, Illinois, Nevada, New York, Ohio, Oklahoma, Pennsylvania, South Carolina, Tennessee, Virginia, West Virginia, Wisconsin",62,0,1,5,0,22,1,39,7,11,0,7,0,8,0,3,0,5,1,5,0,0,0,0,0,1,3,0,1,0,0,0,0,10,9,72,0,0,0,0,0,1,0,0,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAI2244,Baird Holm,,,,,,,,,Baird Holm,163,19,140,26,24,"Alabama, Arizona, California, Colorado, District of Columbia, Florida, Georgia, Idaho, Illinois, Iowa, Kansas, Louisiana, Missouri, Montana, Nebraska, Nevada, New York, North Carolina, North Dakota, South Dakota, Tennessee, Texas, Utah, Wyoming",59,0,1,8,5,16,1,61,0,12,0,7,0,6,0,1,0,16,1,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,13,0,1,4,98,1,3,0,2,1,0,0,0,0,0,1,6,3,0,0,0,0,1,8,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
BAK9080,Baker Botts,,,,1392,Baker Botts,294446,urn:entity:lfm-294446,https://yoda.lexisai.aws.lexis.com/lawfirms/294446,Baker Botts,522,88,395,46,31,"Alabama, Alaska, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Hawaii, Illinois, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, New Jersey, New Mexico, New York, North Carolina, Oklahoma, Pennsylvania, South Carolina, Texas, Utah, Vermont, Virginia, Washington, Wisconsin",204,17,10,7,4,63,1,8,19,24,1,3,217,22,29,0,3,61,16,11,0,0,0,0,2,3,8,0,26,0,1,25,8,5,0,0,0,4,0,1,1,3,1,0,0,0,3,0,9,0,1,61,23,127,97,2,3,1,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,11,1,53,3,0,2,0,1,0,0,0,0,1,4,0,1,0,1,3,1,0,0,1,0,1,1,3,0,0,0,7
BAK1239,Baker McKenzie,,,,54473,Baker McKenzie,155663,urn:entity:lfm-155663,https://yoda.lexisai.aws.lexis.com/lawfirms/155663,Baker McKenzie,263,64,185,46,31,"Arizona, California, Colorado, Delaware, District of Columbia, Florida, Georgia, Hawaii, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, New Jersey, New Mexico, New York, North Carolina, Ohio, Pennsylvania, Tennessee, Texas, Utah, Virginia, Washington, Wyoming",208,7,18,14,11,54,5,52,0,4,0,3,13,3,5,0,2,12,21,14,0,4,0,0,0,0,5,0,23,0,0,5,6,15,4,2,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,8,13,9,14,0,2,2,1,1,0,0,0,2,0,24,1,1,1,0,0,0,0,0,0,3,1,2,1,0,0,0,2,34,2,21,4,0,1,0,0,0,0,0,0,1,3,1,1,0,0,0,3,1,0,0,0,11,2,9,0,2,0,9
BAK4926,Baker Donelson,,,,28948,"Baker, Donelson, Bearman, Caldwell & Berkowitz",307399,urn:entity:lfm-307399,https://yoda.lexisai.aws.lexis.com/lawfirms/307399,"Baker, Donelson, Bearman, Caldwell & Berkowitz","1,498",280,"1,190",73,42,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, Nevada, New Jersey, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Utah, Virginia, Virgin Islands, Washington, West Virginia, Wisconsin",367,19,7,52,101,240,13,270,1,23,1,220,13,81,8,14,2,112,54,38,0,3,0,0,0,2,2,0,8,0,0,5,1,3,3,2,1,52,1,2,5,13,10,5,1,2,57,28,114,34,89,24,19,51,21,3,5,3,1,0,2,116,159,128,1,5,2,1,0,1,2,10,7,0,3,1,0,3,1,1,0,0,1,7,2,4,0,0,1,0,0,1,0,1,1,3,5,1,0,3,1,0,3,0,14,78,8,59,21,69,25,145,6,26
BAK2781,BakerHostetler,,,,57704,BakerHostetler,99750,urn:entity:lfm-99750,https://yoda.lexisai.aws.lexis.com/lawfirms/99750,BakerHostetler,"1,524",256,"1,179",82,46,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming",564,10,71,103,182,156,24,395,8,15,0,85,65,47,46,3,1,60,59,47,2,8,0,0,0,3,26,5,145,9,1,22,12,21,10,10,0,9,0,4,5,8,38,2,1,1,4,6,2,1,3,34,20,91,44,3,7,6,5,98,116,1,5,3,3,61,2,16,11,11,5,5,3,0,0,5,2,5,3,1,0,0,20,125,25,74,25,0,1,2,4,8,0,4,3,14,27,3,9,0,1,5,6,2,1,4,1,90,3,76,3,35,9,20
BAL2806,Balch & Bingham,,,,,,,,,Balch & Bingham,356,60,286,36,19,"Alabama, Arkansas, California, Florida, Georgia, Illinois, Kentucky, Louisiana, Minnesota, Mississippi, Montana, New York, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, Wisconsin",109,4,3,2,83,49,2,48,7,18,1,13,11,10,0,10,0,12,7,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,5,3,5,7,52,0,1,6,7,0,1,0,0,0,0,3,1,2,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,42,69,13,6,1,4,38,62,11,0
BAL3730,Ballard Spahr,,,,24440,Ballard Spahr,249955,urn:entity:lfm-249955,https://yoda.lexisai.aws.lexis.com/lawfirms/249955,Ballard Spahr,"1,528",249,"1,217",71,44,"Alabama, Arizona, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Washington, Wisconsin, Wyoming",519,11,27,35,638,192,83,86,3,5,3,16,25,15,21,0,0,56,38,19,0,5,0,1,1,10,59,8,127,5,0,53,115,195,41,25,0,36,1,0,4,6,31,0,0,0,1,1,0,1,0,3,7,12,16,1,1,3,1,6,18,1,0,0,0,20,0,1,7,18,5,0,0,1,2,44,3,1,2,3,13,0,67,112,19,36,14,0,0,1,1,91,0,7,0,3,41,1,1,0,0,6,28,2,2,2,2,23,2,20,7,51,3,71
BAN2220,Banner Witcoff,,,,15828,Banner & Witcoff,312686,urn:entity:lfm-312686,https://yoda.lexisai.aws.lexis.com/lawfirms/312686,Banner & Witcoff,63,41,22,23,16,"California, Delaware, Florida, Illinois, Massachusetts, Michigan, Minnesota, Missouri, New Jersey, New York, North Carolina, Ohio, Oregon, Texas, Virginia, Wisconsin",56,1,0,0,0,15,6,0,0,0,0,0,31,0,0,0,0,0,26,1,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5,12,0,0,1,0,0,2,0,0,0,0,17,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
BAR8545,Barack Ferrazzano,,,,,,,,,Barack Ferrazzano Kirschbaum & Nagelberg,95,26,67,34,24,"Alaska, Arizona, California, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Maryland, Michigan, Minnesota, Missouri, New York, Ohio, Oklahoma, Oregon, South Dakota, Tennessee, Texas, Utah, Wisconsin, Wyoming",83,2,0,4,2,32,1,4,0,4,0,1,6,2,3,0,0,3,7,4,0,0,0,0,0,0,1,2,10,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,2,2,0,3,0,1,0,0,36,3,0,1,2,2,0,0,1,0,3,1,0,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,2,0,0,0,1,0,0
