law360_firm_id,law360_firm_name,dupe_LM,combine_LM,qualify_LM,lm_firm_id,lm_firm_name,yoda_id,yoda_guid,yoda_url,Law Firm,Total Cases,As Plaintiff,As Defendant,Districts,States / Territories Count,States / Territories Names,Judges,Antitrust,Bankruptcy,Civil Rights,Consumer Protection,Contracts,Copyright,Employment,Environmental,ERISA,False Claims,Insurance,Patent,Product Liability,Securities,Surety Bond,Tax,Torts,Trademark,Trade Secret,D.Me.,D.Mass.,D.N.H.,D.R.I.,D.P.R.,D.Conn.,E.D.N.Y.,N.D.N.Y.,S.D.N.Y.,W.D.N.Y.,D.Vt.,D.Del.,D.N.J.,E.D.Pa.,M.D.Pa.,W.D.Pa.,D.V.I.,D.Md.,E.D.N.C.,M.D.N.C.,W.D.N.C.,D.S.C.,E.D.Va.,W.D.Va.,N.D.W.Va.,S.D.W.Va.,E.D.La.,M.D.La.,W.D.La.,N.D.Miss.,S.D.Miss.,E.D.Tex.,N.D.Tex.,S.D.Tex.,W.D.Tex.,E.D.Ky.,W.D.Ky.,E.D.Mich.,W.D.Mich.,N.D.Ohio,S.D.Ohio,E.D.Tenn.,M.D.Tenn.,W.D.Tenn.,C.D.Ill.,N.D.Ill.,S.D.Ill.,N.D.Ind.,S.D.Ind.,E.D.Wis.,W.D.Wis.,E.D.Ark.,W.D.Ark.,N.D.Iowa,S.D.Iowa,D.Minn.,E.D.Mo.,W.D.Mo.,D.Neb.,D.N.D.,D.S.D.,D.Alaska,D.Ariz.,C.D.Cal.,E.D.Cal.,N.D.Cal.,S.D.Cal.,D.Guam,D.Haw.,D.Idaho,D.Mont.,D.Nev.,D.N.Mar.I.,D.Or.,E.D.Wash.,W.D.Wash.,D.Colo.,D.Kan.,D.N.M.,E.D.Okla.,N.D.Okla.,W.D.Okla.,D.Utah,D.Wyo.,M.D.Ala.,N.D.Ala.,S.D.Ala.,M.D.Fla.,N.D.Fla.,S.D.Fla.,M.D.Ga.,N.D.Ga.,S.D.Ga.,D.D.C.
MOR4763,Morrison Cohen,,,,175183,Morrison Cohen,410778,urn:entity:lfm-410778,https://yoda.lexisai.aws.lexis.com/lawfirms/410778,Morrison Cohen,89,15,68,16,11,"Alaska, California, District of Columbia, Georgia, Idaho, New Hampshire, New Jersey, New York, Oklahoma, Pennsylvania, Virginia",57,2,7,7,0,25,2,11,0,1,0,3,3,1,6,1,0,1,6,3,0,0,1,0,0,0,24,1,42,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
MOR5748,Morrison Mahoney,,,,,,,,,Morrison Mahoney,415,73,334,17,14,"Connecticut, Florida, Illinois, Indiana, Louisiana, Maine, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Vermont",102,2,2,8,8,19,3,16,2,3,0,53,0,36,0,2,0,150,6,1,10,181,35,27,0,55,47,3,13,0,7,0,27,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MOS4154,Moss & Barnett,,,,,,,,,Moss & Barnett,258,16,240,44,28,"Arizona, California, Colorado, Florida, Georgia, Hawaii, Illinois, Indiana, Iowa, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nevada, New Jersey, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Tennessee, Texas, Utah, Virginia, Washington, Wisconsin",152,0,4,2,206,21,1,3,0,1,0,5,0,0,0,1,0,1,8,1,0,1,0,0,0,0,43,3,20,1,0,0,1,8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,12,3,6,2,0,0,9,1,1,0,1,0,0,1,19,1,2,8,13,9,0,0,1,0,51,9,1,0,0,0,0,4,0,1,2,1,0,1,0,0,1,0,1,0,1,5,0,0,0,0,1,1,0,0,0,0,4,0,3,0,0,1,0
MOT6450,Motley Rice,,,,21,Motley Rice,503014,urn:entity:lfm-503014,https://yoda.lexisai.aws.lexis.com/lawfirms/503014,Motley Rice,156,133,3,44,31,"Alaska, Arkansas, California, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Kansas, Louisiana, Maryland, Massachusetts, Minnesota, Mississippi, Montana, Nevada, New Jersey, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Texas, Virginia, Washington, West Virginia, Wisconsin",124,9,0,0,1,1,0,1,3,1,2,1,0,83,20,0,0,18,0,0,0,1,0,4,0,9,3,3,8,0,0,1,6,26,2,1,0,2,3,0,0,23,5,1,1,3,2,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,3,0,15,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,2,0,2,1,3
MOU4666,Mound Cotton Wollan & Greengrass,,,,,,,,,Mound Cotton Wollan & Greengrass,184,16,163,32,23,"Arizona, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Illinois, Indiana, Louisiana, Massachusetts, Michigan, Minnesota, Missouri, Montana, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, South Carolina, Texas, Washington",149,1,3,1,5,4,0,1,1,0,0,142,0,3,1,0,0,6,0,1,0,4,0,0,0,4,12,1,33,0,0,3,17,3,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,3,6,3,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,14,0,9,0,0,0,0,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,16,6,28,0,0,0,1
MOY5164,Moye White,,,,,,,,,Moye White,52,27,19,10,9,"Colorado, Kansas, Michigan, Minnesota, New York, Ohio, Texas, Wisconsin, Wyoming",27,0,4,2,0,20,1,4,0,0,0,2,8,2,0,1,0,0,9,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MUC1134,Much Shelist,,,,,,,,,Much Shelist,76,26,49,13,11,"Alabama, California, Florida, Illinois, Indiana, Iowa, Massachusetts, Michigan, New Jersey, New Mexico, New York",53,1,0,3,0,29,1,13,1,2,0,7,2,0,6,1,0,2,5,4,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,47,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
MUN3551,Munck Wilson Mandala,,,,,,,,,Munck Wilson Mandala,148,40,106,24,18,"Alabama, California, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Massachusetts, Michigan, Missouri, New Jersey, New Mexico, New York, South Carolina, Texas, Utah, Wisconsin",81,6,0,5,3,46,3,15,0,7,1,2,38,2,2,0,0,13,23,6,0,1,0,0,0,2,1,0,5,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,38,11,19,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,31,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0
MUN2899,Munger Tolles,,,,53974,Munger Tolles & Olson,121965,urn:entity:lfm-121965,https://yoda.lexisai.aws.lexis.com/lawfirms/121965,Munger Tolles & Olson,334,49,164,35,26,"Arizona, California, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Illinois, Indiana, Kentucky, Maryland, Massachusetts, Michigan, Missouri, Nevada, New Jersey, New Mexico, New York, Ohio, Pennsylvania, Rhode Island, Tennessee, Texas, Virginia, Washington",131,53,23,24,4,25,17,24,2,2,1,4,20,7,11,0,0,8,10,6,0,1,0,1,1,1,3,0,11,0,0,4,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,6,0,1,1,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,132,6,83,4,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,43
MUN4377,Munsch Hardt Kopf & Harr,,,,,,,,,Munsch Hardt Kopf & Harr,230,43,159,21,16,"Arizona, Arkansas, California, Colorado, Delaware, Georgia, Illinois, Kansas, Maryland, Missouri, Nevada, New Mexico, New York, Oklahoma, Tennessee, Texas",83,0,30,1,53,31,2,18,2,7,1,18,16,9,4,0,1,13,6,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,62,70,36,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
