District,Total Cases,State / Territory,Antitrust,Bankruptcy,Civil Rights,Consumer Protection,Contracts,Copyright,Employment,Environmental,ERISA,False Claims,Insurance,Patent,Product Liability,Securities,Surety Bond,Tax,Torts,Trademark,Trade Secret
M.D.N.C.,"1,363",North Carolina,4,11,60,88,105,19,267,4,57,7,93,22,46,5,9,7,108,41,11
W.D.N.C.,"2,207",North Carolina,11,30,109,183,211,40,508,7,80,5,152,23,51,19,12,11,136,62,26
D.N.D.,488,North Dakota,0,0,12,10,78,4,42,5,10,2,34,1,16,1,5,3,74,5,8
D.N.Mar.I.,89,Northern Mariana Islands,0,0,2,0,19,0,11,1,0,0,0,0,0,2,0,0,14,1,0
N.D.Ohio,"4,861",Ohio,6,23,264,486,549,47,"1,323",8,163,16,225,102,127,30,16,16,385,176,88
S.D.Ohio,"4,965",Ohio,10,21,174,413,488,37,"1,406",13,266,20,224,73,299,40,15,26,340,103,99
E.D.Okla.,586,Oklahoma,1,1,45,16,46,3,77,3,1,2,70,0,20,0,2,2,113,4,2
N.D.Okla.,"1,104",Oklahoma,1,5,45,57,88,15,176,2,28,2,201,6,32,6,8,3,161,13,7
W.D.Okla.,"2,312",Oklahoma,3,9,67,127,224,15,469,2,28,6,440,13,74,6,13,5,326,31,18
D.Or.,"3,284",Oregon,9,28,207,313,222,51,543,50,143,6,321,33,109,15,8,12,295,66,39
E.D.Pa.,"13,211",Pennsylvania,21,68,516,"1,126",757,387,"2,838",6,678,32,"1,577",57,667,231,26,31,"1,746",131,104
M.D.Pa.,"3,708",Pennsylvania,6,27,200,263,182,68,885,3,54,8,276,11,106,9,9,4,494,19,14
W.D.Pa.,"5,088",Pennsylvania,3,37,770,442,351,38,"1,263",9,241,7,328,43,210,21,7,14,386,79,56
D.P.R.,"1,611",Puerto Rico,8,53,71,35,141,20,189,8,8,15,44,3,21,8,6,4,333,25,7
D.R.I.,"1,185",Rhode Island,4,20,73,55,114,8,220,2,35,4,64,5,32,3,7,3,106,20,11
