law360_firm_id,law360_firm_name,Lawfirm,LawFirmId,AggregatedDealvalue,DealCount,dupe_MA,qualify_MA,notes_MA,combine_MA
,,Reitler Kailas & Rosenblatt,5576,$ -,1,,,,
,,Ruder Ware,2218,$ -,1,,,,
,,Corporate Law Solutions,6669,$ -,1,,,,
,,Smith Eilers,10194,$ -,1,,,,
,,Farris,9497,$ -,1,,,,
,,Bristows,7970,$ -,1,,,,
,,Berger Legal,10250,$ -,2,,,,
,,Allman Spry Davis Leggett & Crumpler,7840,$ -,1,,,,
,,Skeen Law,9767,$ -,1,,,,
,,Rice Reuther Sullivan & Carroll,9739,$ -,1,,,,
,,Gottbetter & Partners,1082,$ -,1,,,,
,,Blalock Walters,7775,$ -,1,,,,
,,"Tin Kin Lee, Law Offices of",9365,$ -,1,,,,
,,Cohen Tauber Spievack & Wagner,6346,$ -,1,,,,
,,Law Office of Deven S. Kane,10077,$ -,1,,,,
,,Jingtian & Gongcheng,7972,$ -,1,,,,
,,Advokatfirma Wiersholm AS,7071,$ -,1,,,,
,,Di Santo Law,9696,$ -,1,,,,
,,Cutler Law Group,639,$ -,1,,,,
,,Metz Lewis Brodman Must O'Keefe,7824,$ -,1,,,,
,,Sutter Law,9590,$ -,1,,,,
,,Keystone Law,10069,$ -,2,,,,
,,Timothy B. Gavigan,9247,$ -,1,,,,
,,Harris Berne Christensen,9763,$ -,1,,,,
,,YK Law,10155,$ -,1,,,,
,,Ramunno Advogados,9681,$ -,1,,,,
,,Hutchinson Black and Cook,9784,$ -,1,,,,
,,"Jonathan D, Leinwand",5435,$ -,1,,,,
,,Chitiz Pathak,7513,$ -,1,,,,
,,Seck & Associates,9727,$ -,1,,,,
,,Kirsh Securities,9796,$ -,1,,,,
,,"David Aboudi, Attorney at Law",9594,$ -,1,,,,
,,"Koenig, Oelsner, Taylor, Schoenfeld & Gaddis",9656,$ -,1,,,,
,,Dunlap Bennett & Ludwig,10242,$ -,1,,,,
,,Hiller,9621,$ -,1,,,,
,,Kirkpatrick & Lockhart,4130,$ -,1,,,,
,,Doumar Martin,9491,$ -,1,,,,
,,"Rob Cucher, Law Offices of",10195,$ -,1,,,,
,,"Ronald J. Stauber, Law Offices of",5944,$ -,1,,,,
,,Gebhardt & Smith,9923,$ -,1,,,,
,,Burns Figa & Will,395,$ -,1,,,,
,,Patterson Thuente,10251,$ -,1,,,,
,,Ramsay Lampman Rhodes,9942,$ -,1,,,,
,,Brinkley Morgan,9542,$ -,1,,,,
,,Kellerhals Carrard,4968,$ -,1,,,,
,,GTC Law Group,6637,$ -,1,,,,
,,Claro & Cia,3593,$ -,1,,,,
,,Kline Law Group,6338,$ -,1,,,,
,,"Price & Associates, Attorneys at Law",9334,$ -,1,,,,
,,Mannheimer Swartling Advokatbyr,6543,$ -,1,,,,
,,Goodwin & Goodwin,1071,$ -,1,,,,
,,Klitenic Law Group,9601,$ -,1,,,,
,,Prospera Law,4194,$ -,1,,,,
,,"Otto E. Sorensen, Attorney at Law",9655,$ -,1,,,,
,,"Burnet, Duckworth & Palmer",390,$ -,1,,,,
,,"Frederick M. Lehrer, Attorney at Law",8840,$ -,1,,,,
,,BraunHagey & Borden,9935,$ -,1,,,,
,,Hand Baldachin & Associates,9363,$ -,1,,,,
,,Errecondo Gonzalez & Funes Abogados,8774,$ -,1,,,,
,,"Robert Brantl, Esq.",5887,$ -,1,,,,
,,Randall Greer,10112,$ -,1,,,,
,,Snell & Smith,2392,$ -,1,,,,
,,Libertas Law Group,9297,$ -,1,,,,
,,Rothschild,8486,$ -,1,,,,
,,McGeary Cukor,9958,$ -,1,,,,
,,Meister Seelig & Fein,4281,$ -,2,,,,
,,Pestalozzi Attorneys at Law,6009,$ -,1,,,,
,,Adams Corporate Law,9839,$ -,1,,,,
,,ZAG/S&W,6072,$ -,1,,,,
,,Green Schoenfeld & Kyle,9858,$ -,1,,,,
,,Boardman & Clark,5279,$ -,2,,,,
,,Allen & Gledhill,3323,$ -,1,,,,
,,CMS Legal,4892,$ -,1,,,,
WAC3922,Wachtell,"Wachtell, Lipton, Rosen & Katz",2909,"$1,070,019,563,456.00",151,,,,
SKA5809,Skadden,"Skadden, Arps, Slate, Meagher & Flom",2895,"$680,065,123,960.00",211,,,,
KIR1429,Kirkland,Kirkland & Ellis,1469,"$655,001,828,945.00",269,,,,
LAT5090,Latham,Latham & Watkins,2856,"$601,026,115,598.00",255,,,,
