law360_firm_id,law360_firm_name,Lawfirm,LawFirmId,AggregatedDealvalue,DealCount,dupe_MA,qualify_MA,notes_MA,combine_MA
MOR4976,Morris Nichols,"Morris, Nichols, Arsht & Tunnell",1831,"$2,200,000,000.00",4,,,,
BAK4926,Baker Donelson,"Baker, Donelson, Bearman, Caldwell & Berkowitz",7083,"$2,158,696,096.00",8,,,,
,,Otteson Shapiro,5950,"$2,147,800,000.00",3,,,,
HAY5217,Haynes and Boone,Haynes and Boone,2842,"$2,123,574,065.00",18,,,,
,,Osborne Clarke,4391,"$2,116,583,361.00",4,,,,
,,Darrois Villey Maillot Brochier AARPI,3685,"$2,100,000,000.00",1,,,,
KEA1720,Kean Miller,Kean Miller,5849,"$2,000,000,000.00",1,,,,
,,Pinheiro Neto Advogados,4428,"$2,000,000,000.00",2,,,,
,,Anderson Mori & Tomotsune,4852,"$2,000,000,000.00",1,,,,
,,Brown & Fortunato,9726,"$2,000,000,000.00",1,,,,
,,Mori Hamada & Matsumoto,4323,"$2,000,000,000.00",2,,,,
AKE5064,Akerman,Akerman,6431,"$1,962,650,000.00",11,,,,
,,Nichols Liu,10089,"$1,900,000,000.00",1,,,,
LEV8573,Levenfeld Pearlstein,Levenfeld Pearlstein,1565,"$1,875,450,000.00",5,,,,
,,Pedersoli Studio Legale,9837,"$1,800,000,000.00",1,,,,
PIN7776,,Pinsent Masons,6558,"$1,733,237,132.00",4,,,,
,,Lawson Lundell,5651,"$1,720,000,000.00",1,,,,
,,Jones & Keller,1368,"$1,706,700,000.00",6,,,,
MAC3849,Maynard Cooper,Maynard Cooper & Gale,1691,"$1,654,100,000.00",6,,,,
POL2609,Polsinelli,Polsinelli,5959,"$1,633,058,973.00",9,,,,
BRA4425,Bradley Arant,Bradley Arant Boult Cummings,4873,"$1,611,050,000.00",4,,,,
FOL7287,Foley Hoag,Foley Hoag,941,"$1,610,475,000.00",8,,,,
,,LCS & Partners,7492,"$1,600,000,000.00",1,,,,
,,Tsar & Tsai Law Firm,9510,"$1,600,000,000.00",1,,,,
,,Maiwald Patentanwalts und Rechtsanwaltsgesellschaft,9613,"$1,565,000,000.00",2,,,,
BOW5564,Bowles Rice,Bowles Rice,6926,"$1,542,400,000.00",7,,,,
BAL3730,Ballard Spahr,Ballard Spahr,2801,"$1,532,097,566.00",16,,,,
MOO4584,Moore & Van Allen,Moore & Van Allen,1812,"$1,487,400,000.00",9,,,,
,,The Roy Gross Law Firm,9765,"$1,400,000,000.00",1,,,,
,,"Scott J. Orr, Attorney at Law",9851,"$1,400,000,000.00",1,,,,
CHO7681,Choate,"Choate, Hall & Stewart",510,"$1,351,300,000.00",3,,,,
MIL3071,Miller Nash,Miller Nash Graham & Dunn,7588,"$1,331,800,000.00",3,,,,
BRO6136,Brown Rudnick,Brown Rudnick,363,"$1,292,815,000.00",8,,,,
,,Needham,7020,"$1,275,000,000.00",1,,,,
,,Davis Malm & D'Agostine,681,"$1,250,000,000.00",1,,,,
SUL2064,Sullivan & Worcester,Sullivan & Worcester,2901,"$1,193,316,000.00",12,,,,
,,Lobo & de Rizzo Advogados,9359,"$1,176,437,643.00",5,,,,
,,Nctm Studio Legale,9179,"$1,150,179,250.00",1,,,,
FIN7802,,Finn Dixon & Herling,894,"$1,097,124,996.00",3,,,,
MIT5761,,"Mitchell, Williams, Selig, Gates & Woodyard",9275,"$1,085,900,000.00",3,,,,
VOR5310,Vorys,"Vorys, Sater, Seymour and Pease",5099,"$1,075,100,000.00",7,,,,
STE8795,Stevens & Lee,Stevens & Lee,2452,"$1,072,000,000.00",10,,,,
SMI5228,Smith Gambrell,"Smith, Gambrell & Russell",6857,"$1,062,000,000.00",3,,,,
,,"Naschitz, Brandes, Amir",1863,"$1,042,000,000.00",5,,,,
DAY4394,Day Pitney,Day Pitney,2816,"$1,037,500,000.00",3,,,,
DAV6971,Davis Wright Tremaine,Davis Wright Tremaine,683,"$1,030,508,000.00",6,,,,
BUT3231,Butler Snow,Butler Snow O'Mara Stevens & Cananda,5566,"$1,022,700,000.00",9,,,,
ICE9893,Ice Miller,Ice Miller,1282,"$967,500,000.00",8,,,,
,,"Fenimore, Kay, Harrison & Ford",5259,"$965,000,000.00",11,,,,
FRO3812,Frost Brown Todd,Frost Brown Todd,978,"$961,434,000.00",14,,,,
,,Kane Kessler,1401,"$955,500,000.00",3,,,,
,,"Scholz, Loos, Palmer, Siebers and Duesterhaus",9766,"$925,000,000.00",1,,,,
LIT8351,Littler,Littler Mendelson,1598,"$900,000,000.00",1,,,,
STO5900,Stoel Rives,Stoel Rives,2463,"$892,540,558.00",2,,,,
MCG1881,,McGrath North Mullin & Kratz,1715,"$885,000,000.00",2,,,,
,,Pastore & Dailey,9998,"$880,000,000.00",1,,,,
EPS1623,Epstein Becker Green,Epstein Becker & Green,2826,"$853,000,000.00",1,,,,
MUR2202,,Murtha Cullina,1859,"$843,000,000.00",1,,,,
,,West Group Law,9355,"$843,000,000.00",1,,,,
,,Avance Attorneys,7555,"$824,700,000.00",2,,,,
,,Woolery & Co,10046,"$800,000,000.00",1,,,,
BUR9598,Burns & Levinson,Burns & Levinson,394,"$796,575,000.00",10,,,,
FRE6083,Fredrikson & Byron,Fredrikson & Byron,968,"$782,400,000.00",5,,,,
GRA3147,,Graubard Miller,1091,"$776,450,000.00",10,,,,
WEI5245,,Weintraub Tobin Chediak Coleman Grodin Law,5935,"$775,000,000.00",3,,,,
CRO9129,Crowell & Moring,Crowell & Moring,2814,"$766,555,516.00",7,,,,
,,Veirano Advogados,8744,"$765,000,000.00",1,,,,
,,KLA Advogados,10254,"$765,000,000.00",1,,,,
,,Demarest Advogados,8708,"$765,000,000.00",1,,,,
NUT1674,Nutter,Nutter McClennen Fish,1924,"$751,589,211.00",3,,,,
,,Vaisey Nicholson & Nearpass,9509,"$735,700,000.00",1,,,,
,,Trilegal,7876,"$729,000,000.00",1,,,,
,,"Divjak, Topic, Bahtijarevic & Krka Law Firm",9816,"$720,690,825.00",1,,,,
BRO4730,Brownstein Hyatt,Brownstein Hyatt Farber Schreck,368,"$718,313,250.00",5,,,,
POR1665,Porter Hedges,Porter Hedges,2059,"$716,400,000.00",5,,,,
,,Atrium,9449,"$709,500,000.00",1,,,,
WIN3203,Windels Marx,Windels Marx,2723,"$706,706,253.00",5,,,,
MUC1134,Much Shelist,Much Shelist,6236,"$702,175,116.00",2,,,,
BEN8652,Benesch,"Benesch, Friedlander, Copland & Aronoff",233,"$698,500,000.00",6,,,,
MOR4763,Morrison Cohen,Morrison Cohen,4327,"$630,021,500.00",4,,,,
,,Gallagher & Kennedy,5267,"$624,693,459.00",2,,,,
,,Marten Law,3187,"$613,600,000.00",1,,,,
MOR6762,Morris Manning,"Morris, Manning & Martin",1833,"$603,000,360.00",11,,,,
,,ENSafrica,7430,"$582,948,800.00",2,,,,
TRE3212,,Trenam Law,9033,"$582,200,000.00",2,,,,
,,Smith Mackinnon,2388,"$570,600,000.00",6,,,,
SMI8645,,"Smith, Anderson, Blount, Dorsett, Mitchell & Jernigan",2387,"$554,200,000.00",6,,,,
JAC6640,Jackson Walker,Jackson Walker,1334,"$554,081,133.00",8,,,,
,,Tian Yuan Law Firm,7747,"$550,000,000.00",1,,,,
,,Walkers and Harneys,9651,"$540,200,000.00",1,,,,
BUR9385,Burr & Forman,Burr & Forman,396,"$539,500,000.00",6,,,,
,,"Fogler, Rubinoff",938,"$530,000,000.00",3,,,,
,,"Ferrante & Associates, Attorneys at Law",9378,"$530,000,000.00",1,,,,
MUS1392,,"Musick, Peeler & Garrett",9407,"$529,579,706.00",3,,,,
GRE4252,Greensfelder Hemker,"Greensfelder, Hemker & Gale",1108,"$529,255,000.00",2,,,,
QUA9405,Quarles & Brady,Quarles & Brady,2094,"$525,500,000.00",4,,,,
,,Puryear and Lingle,9408,"$514,579,706.00",3,,,,
,,FBC & Co,9512,"$506,906,147.00",4,,,,
,,Phillips Gardill Kaiser & Altmeyer,4420,"$500,000,000.00",1,,,,
,,Amar Reiter Jeanne Shochatovitch,8952,"$500,000,000.00",1,,,,
,,"Silver, Freedman, Taff & Tiernan",5436,"$497,800,000.00",8,,,,
THO4012,Thompson Coburn,Thompson Coburn,2532,"$491,500,000.00",5,,,,
HOW6246,Howard & Howard,Howard & Howard Attorneys,1256,"$490,400,000.00",6,,,,
BEC7366,Becker & Poliakoff,Becker & Poliakoff,225,"$482,000,000.00",9,,,,
HUN7011,,Hunter Taubman Fischer & Li,7507,"$480,480,000.00",8,,,,
,,Hannes Snellman,4940,"$480,000,000.00",2,,,,
,,Capital Law & Advisory Partners,7762,"$478,721,850.00",1,,,,
WIN6654,Winthrop & Weinstine,Winthrop & Weinstine,2729,"$475,600,000.00",4,,,,
CHA4487,Chapman and Cutler,Chapman and Cutler,493,"$474,000,000.00",3,,,,
,,"Machado, Meyer, Sendacz and Opice Advogados",4221,"$470,414,161.00",2,,,,
WIL1765,Williams Mullen,Williams Mullen,2710,"$465,400,000.00",7,,,,
,,Gross Law Firm,7158,"$460,000,000.00",1,,,,
,,"Lexcel Partners, Attorneys at Law",9445,"$458,000,000.00",1,,,,
GOD9129,Godfrey & Kahn,Godfrey & Kahn,1049,"$456,630,000.00",6,,,,
LEW5773,Lewis Brisbois,Lewis Brisbois Bisgaard & Smith,2858,"$449,920,000.00",4,,,,
HOD5582,Hodgson Russ,Hodgson Russ,1232,"$442,106,586.00",6,,,,
STR6991,Stradley Ronon,Stradley Ronon Stevens & Young,2468,"$438,500,000.00",4,,,,
RUT1628,Rutan & Tucker,Rutan & Tucker,2225,"$438,156,700.00",3,,,,
JAF3034,Jaffe Raitt,"Jaffe, Raite, Heuer & Weiss",1337,"$428,600,000.00",2,,,,
,,Grandall Law Firm,7431,"$425,000,000.00",1,,,,
,,Wiersholm,5985,"$410,000,000.00",1,,,,
,,Swidler Berlin Shereff Friedman,2497,"$408,700,000.00",2,,,,
NEL7379,,Nelson Hardiman,10033,"$400,000,000.00",1,,,,
PEA4056,,Pearl Cohen Zedek Latzer Baratz,7130,"$396,800,000.00",7,,,,
MCC6510,McCarter & English,McCarter & English,1698,"$390,200,000.00",6,,,,
,,Van Doorne,7851,"$389,918,100.00",1,,,,
VAR8052,Varnum,Varnum,5243,"$387,800,000.00",3,,,,
,,Lamson Dugan & Murray,9495,"$386,000,000.00",1,,,,
,,Clark Wilson,531,"$371,600,000.00",2,,,,
,,VCL Law,9792,"$368,890,000.00",1,,,,
SHU5096,Shumaker Loop,"Shumaker, Loop & Kendrick",2346,"$368,200,000.00",6,,,,
,,Santos Elizondo,9444,"$367,000,000.00",1,,,,
WAT6717,,Watson Farley & Williams,2640,"$356,664,000.00",1,,,,
,,Gorrissen Federspiel Advokatpartnerselskab,4934,"$354,000,000.00",1,,,,
,,Lee & Ko,9490,"$350,600,000.00",1,,,,
,,KL Partners,9586,"$350,600,000.00",1,,,,
,,"Lewis, Ringelman & Fanyo",9788,"$350,000,000.00",1,,,,
,,Gleiss Lutz Hootz Hirsch,6726,"$346,044,840.00",3,,,,
,,Thorne Grodnik,6396,"$344,000,000.00",1,,,,
,,Reid & Riege,2135,"$343,600,000.00",1,,,,
,,Gesmer & Updegrove,1023,"$335,000,000.00",1,,,,
KIR1230,Kirton McConkie,Kirton McConkie,6685,"$333,300,000.00",9,,,,
,,Ernst & Young Advokatfirma AS,10223,"$332,500,000.00",1,,,,
,,Advokatfirmaet CLP DA,10224,"$332,500,000.00",1,,,,
DIN7109,Dinsmore,Dinsmore & Shohl,729,"$326,084,000.00",7,,,,
THO1800,Thompson Hine,Thompson Hine,2533,"$326,028,220.00",12,,,,
ROB9381,Robinson Bradshaw,"Robinson, Bradshaw & Hinson",2180,"$324,000,000.00",3,,,,
JAC8082,Jackson Kelly,Jackson Kelly,1330,"$322,300,000.00",2,,,,
LUC2236,,Lucosky Brookman,9463,"$320,150,161.00",21,,,,
,,Mccullough O'Connor Irwin,4264,"$320,000,000.00",1,,,,
,,Stein Adler Dabah & Zelkowitz,9566,"$320,000,000.00",1,,,,
,,Sangra Moller,2255,"$316,900,000.00",2,,,,
CAR7761,,Carmody Torrance Sandak & Hennessey,5850,"$315,000,000.00",1,,,,
,,Harbottle & Lewis,9743,"$315,000,000.00",1,,,,
MIT5728,Mitchell Silberberg,Mitchell Silberberg & Knupp,1791,"$307,550,000.00",10,,,,
JEF1814,Jeffer Mangels,Jeffer Mangels Butler & Mitchell,2849,"$305,000,000.00",1,,,,
,,"Erdinast, Ben Nathan, Toledano",6408,"$305,000,000.00",1,,,,
WIC9297,,Wick Phillips,5782,"$300,000,360.00",2,,,,
,,Sparks Willson,6178,"$300,000,000.00",1,,,,
KOL4476,Koley Jessen,Koley Jessen,1487,"$297,486,366.00",5,,,,
,,Walkers Attorneys at Law,2625,"$296,400,000.00",2,,,,
SCO3025,,"Scopelitis, Garvin, Light, Hanson & Feary",9358,"$295,901,500.00",2,,,,
,,"Stubbs, Alderton & Markiles",2477,"$295,700,000.00",2,,,,
HAR5723,Harter Secrest,Harter Secrest & Emery,1177,"$293,965,366.00",5,,,,
STE7908,Stearns Weaver,Stearns Weaver Miller Weissler Alhadeff & Sitterson,6146,"$288,500,000.00",3,,,,
MEM5570,,Memery Crystal,6193,"$286,000,000.00",1,,,,
,,Hill Dickinson,9799,"$286,000,000.00",1,,,,
GRA5326,,Graydon Head & Ritchey,1096,"$285,000,000.00",1,,,,
,,"Byrnes, O'Hern & Heugle",9673,"$285,000,000.00",1,,,,
RIV4891,Rivkin Radler,Rivkin Radler,10075,"$282,500,000.00",1,,,,
SHE1759,Sherman & Howard,Sherman & Howard,2337,"$282,300,000.00",2,,,,
,,Scarborough McNeese Oelke & Kilkenny,9482,"$280,000,000.00",1,,,,
,,Shapiro Sher Guinot & Sandler,8019,"$280,000,000.00",1,,,,
FIS5443,FisherBroyles,FisherBroyles,5217,"$268,505,281.00",2,,,,
,,Pillar+Aught,8961,"$266,400,000.00",4,,,,
REI4284,Reinhart Boerner,Reinhart Boerner Van Deuren,2137,"$253,087,500.00",5,,,,
,,Cuatrecasas Goncalves Pereira,3664,"$246,961,450.00",1,,,,
DYK8984,Dykema,Dykema Gossett,789,"$244,400,000.00",5,,,,
,,Cliffe Dekker Hofmeyr,5255,"$242,000,000.00",1,,,,
,,Yulchon,5110,"$237,220,000.00",1,,,,
,,Shin & Kim,9535,"$237,220,000.00",1,,,,
POR3972,Porter Wright,Porter Wright Morris & Arthur,2061,"$231,175,000.00",2,,,,
RIM7936,Rimon PC,Rimon,7834,"$230,000,000.00",2,,,,
LAT3871,Lathrop GPM,Lathrop GPM,9591,"$228,000,000.00",3,,,,
HOL5405,Holland & Hart,Holland & Hart,1238,"$223,750,000.00",9,,,,
CAL7789,Calfee Halter,"Calfee, Halter & Griswold",413,"$218,880,012.00",9,,,,
,,Jasso Lopez,9830,"$215,000,000.00",1,,,,
DIC1953,Dickinson Wright,Dickinson Wright,720,"$212,130,000.00",10,,,,
,,Fulbright & Jaworski,2833,"$209,200,000.00",1,,,,
,,Commercial Law Group,5973,"$209,200,000.00",1,,,,
,,Posse Herrera & Ruiz,6356,"$205,000,000.00",2,,,,
,,Brigard & Urrutia Abogados,9631,"$205,000,000.00",1,,,,
,,Wikborg Rein,4810,"$204,000,000.00",1,,,,
FRI2395,,Friday Eldredge & Clark,972,"$200,000,000.00",1,,,,
MAS2603,,Maslon,1677,"$198,900,000.00",6,,,,
ONB6174,,O'neill & Borges,7242,"$196,600,000.00",1,,,,
PIE2993,,Pietrantoni Mendez & Alvarez,4427,"$196,600,000.00",1,,,,
,,Foot Anstey,9517,"$195,000,000.00",1,,,,
YOU1231,Young Conaway,Young Conaway Stargatt & Taylor,5494,"$191,760,000.00",3,,,,
STO6862,Stoll Keenon,Stoll Keenon Ogden,2465,"$190,000,000.00",1,,,,
,,Bybel Rutledge,403,"$181,900,000.00",4,,,,
,,Wildeboer Dellelce,4811,"$181,589,450.00",3,,,,
,,Koffman Kalef,5300,"$181,416,456.00",1,,,,
,,Yong Gruber Associates,6663,"$180,000,000.00",1,,,,
SIC4344,,Sichenzia • Ross • Ference,8175,"$177,790,000.00",19,,,,
MIL3104,Miles & Stockbridge,Miles & Stockbridge,2866,"$176,250,000.00",6,,,,
,,M. Firon & Co Advocates,10159,"$174,314,720.00",1,,,,
HIN6183,Hinckley Allen,"Hinckley, Allen & Snyder",1220,"$169,500,000.00",3,,,,
,,The West Firm,9742,"$169,000,000.00",1,,,,
,,Williams Parker,9953,"$167,750,000.00",2,,,,
,,Gowling WLG,1084,"$165,000,000.00",6,,,,
BRU7326,,Bruun & Hjejle,8974,"$163,212,356.00",1,,,,
GRE4794,,Greenberg Glusker Fields Claman & Machtinger,1104,"$163,000,000.00",2,,,,
GAL6385,,Gallagher Evelius & Jones,7879,"$161,750,000.00",1,,,,
,,Sergio Botrel Sociedade de Advogados,10190,"$161,400,000.00",1,,,,
,,Gleaves Swearingen,5399,"$161,000,000.00",1,,,,
,,Madrona Advogados,9790,"$160,839,184.00",1,,,,
,,Purrington Moody Weil,9439,"$160,000,000.00",1,,,,
,,"Furth, Wilensky, Mizrachi, Knaani",9934,"$160,000,000.00",2,,,,
WOM8006,Womble Bond,Womble Bond Dickinson,2751,"$159,368,664.00",3,,,,
MCD1987,McDonald Hopkins,McDonald Hopkins,1708,"$159,013,000.00",3,,,,
COH3986,,Cohen and Wolf,10091,"$151,000,000.00",1,,,,
JOH5208,,Johnson Winter & Slattery,8977,"$150,000,000.00",1,,,,
,,M&H,9151,"$150,000,000.00",3,,,,
,,Kohrman Jackson & Krantz,1486,"$150,000,000.00",1,,,,
,,Morningstar Law Group,10039,"$150,000,000.00",1,,,,
,,Rebekah Fisher & Associates,9638,"$149,679,857.00",1,,,,
ARM1143,Armstrong Teasdale,Armstrong Teasdale,99,"$146,300,000.00",3,,,,
GEN4212,,Gentry Locke Rakes & Moore,6639,"$145,000,000.00",1,,,,
,,The Nilson Law Group,6360,"$145,000,000.00",1,,,,
,,"Bennett, Tueller, Johnson & Deere",6589,"$145,000,000.00",1,,,,
BAR6817,Barley Snyder,Barley Snyder,8843,"$142,100,000.00",3,,,,
ADA9558,Adams and Reese,Adams and Reese,4842,"$140,500,000.00",2,,,,
,,Olender Feldman,8981,"$140,000,000.00",1,,,,
,,Frye & Hsieh,8066,"$138,300,000.00",1,,,,
LEW7147,Lewis Rice,Lewis Rice,8099,"$137,900,000.00",3,,,,
,,TCF Law Group,9435,"$134,000,000.00",3,,,,
PAR8806,Parker Poe,Parker Poe Adams & Bernstein,1994,"$131,500,000.00",2,,,,
,,Burstall,9062,"$131,000,000.00",1,,,,
,,Simon Jones,10145,"$129,056,391.00",1,,,,
,,Gallet Dreyer & Berkey,9525,"$128,406,253.00",2,,,,
,,"Muchnick, Golieb and Golieb",6240,"$125,000,000.00",1,,,,
,,Stuart Moore,4676,"$125,000,000.00",1,,,,
,,Grady & Associates,3906,"$124,000,000.00",1,,,,
MES4913,,Messerli Kramer,1747,"$120,000,000.00",1,,,,
,,DaCheng Law Offices,7500,"$120,000,000.00",1,,,,
COL3211,Cole Schotz,Cole Schotz,7599,"$118,674,000.00",3,,,,
,,KPMG,9752,"$117,900,000.00",1,,,,
,,"Sanchez-Medina, Gonzalez, Quesada, Lage, Gomez & Machado",9697,"$115,418,918.00",2,,,,
KEL8887,Kelley Drye,Kelley Drye & Warren,1438,"$114,400,000.00",2,,,,
,,Sullivan McGregor & Doer,9985,"$113,463,178.00",1,,,,
BUC5248,Buckley,Buckley,9414,"$113,400,000.00",2,,,,
PRO5254,Procopio Cory,"Procopio, Cory, Hargreaves & Savitch",2080,"$112,100,000.00",11,,,,
,,Harper Grey,9373,"$110,900,000.00",4,,,,
WEI4860,,Weiner Law Group,9520,"$110,700,000.00",1,,,,
,,The Loev Law Firm,6114,"$110,100,000.00",6,,,,
WAR9563,Warner Norcross,Warner Norcross + Judd,2633,"$109,880,000.00",3,,,,
WAL1545,Waller Lansden,Waller Lansden Dortch & Davis,2627,"$101,900,000.00",2,,,,
,,Guyer & Regules,10116,"$100,600,000.00",1,,,,
TAR7074,,Tarter Krinsky Drogin,2509,"$100,000,000.00",1,,,,
,,DuMoulin Black,778,"$100,000,000.00",2,,,,
,,Cherin Law Offices,10181,"$100,000,000.00",1,,,,
,,"Kane, Norby & Reddick",9528,"$100,000,000.00",1,,,,
,,Herguner Bilgen Ozeke,10120,"$100,000,000.00",1,,,,
,,Esin Attorney,10121,"$100,000,000.00",1,,,,
,,Nance & Simpson,5018,"$99,500,000.00",2,,,,
,,"Crain, Caton & James",5806,"$99,500,000.00",2,,,,
MIC3151,Michelman & Robinson LLP,Michelman & Robinson,5450,"$94,900,000.00",3,,,,
,,Cripps Pemberton Greenish,9678,"$94,900,000.00",1,,,,
,,Hinds & Small,9679,"$94,900,000.00",1,,,,
SHA9114,,Shartsis Friese,2785,"$93,500,000.00",2,,,,
,,Pinheiro Guimaraes,10047,"$93,444,240.00",1,,,,
,,Adalberto Calil,10048,"$93,444,240.00",1,,,,
,,Vicente Sederberg,9360,"$93,000,000.00",2,,,,
WIN6821,Winstead,Winstead,2920,"$92,317,000.00",2,,,,
ROB6924,,Roberts & Holland,4503,"$90,000,000.00",1,,,,
,,The Pittman Law Firm,9479,"$88,900,000.00",1,,,,
,,Fieldfisher,4923,"$88,553,032.00",2,,,,
,,"King, Holmes, Paterno & Soriano",7622,"$87,400,000.00",1,,,,
,,Jones Foster,6150,"$85,750,000.00",1,,,,
BUC4341,Buchanan Ingersoll,Buchanan Ingersoll & Rooney,6887,"$85,667,000.00",3,,,,
,,"Spierer, Woodward, Corbalis, & Goldberg",10064,"$85,300,000.00",1,,,,
SHI9777,Shipman & Goodwin,Shipman & Goodwin,2339,"$85,000,000.00",1,,,,
,,Ladenburg Thalmann,1517,"$85,000,000.00",2,,,,
,,Lorium,9945,"$85,000,000.00",1,,,,
,,Frank Weinberg & Black,8090,"$82,500,000.00",1,,,,
,,Sullivan & Triggs,2481,"$82,000,000.00",1,,,,
,,Giannuzzi Lewendon,5814,"$80,000,000.00",1,,,,
,,"Mette, Evans & Woodside",1750,"$78,500,000.00",1,,,,
,,H-F & Co,9433,"$78,000,000.00",1,,,,
ZUB4509,Zuber Lawler,Zuber Lawler & Del Duca,9568,"$77,100,000.00",3,,,,
,,Elkins Kalt Weintraub Reuben Gartside,7403,"$76,700,000.00",1,,,,
,,Flatiron Law Group,9707,"$76,250,000.00",1,,,,
,,Janus Capital Law Group,9973,"$76,000,000.00",1,,,,
CAR6967,,Carter Ledyard & Milburn,452,"$75,304,324.00",8,,,,
,,Ruddy Gregory,9894,"$75,000,000.00",1,,,,
,,"Gregory, Doyle, Calhoun & Rogers",8888,"$75,000,000.00",1,,,,
BAR4629,Barclay Damon,Barclay Damon,7523,"$74,000,000.00",2,,,,
,,Kulzer & DiPadova,10040,"$74,000,000.00",1,,,,
LIP7648,Lippes Mathias,Lippes Mathias Wexler Friedman,5404,"$73,500,000.00",3,,,,
WOL6994,,Wollmuth Maher & Deutsch,2749,"$73,200,000.00",1,,,,
,,Lefosse Advogados,7538,"$70,000,000.00",1,,,,
,,"Fraga, Bekierman and Cristiano Advogados",9462,"$70,000,000.00",1,,,,
,,Littman Krooks,1599,"$69,500,000.00",2,,,,
CAR4665,Carlton Fields,Carlton Fields,444,"$68,000,000.00",2,,,,
DRE4947,Drew Eckl,"Drew, Eckl & Farnham",9843,"$68,000,000.00",2,,,,
,,Tripp Scott,6420,"$67,000,000.00",1,,,,
CUL6391,,Culhane Meadows Haughian & Walsh,9658,"$65,000,000.00",3,,,,
PRI9443,,Prince Lobel Tye,9753,"$65,000,000.00",1,,,,
ECK6496,Eckert Seamans,Eckert Seamans Cherin & Mellott,799,"$64,000,000.00",2,,,,
,,Warrick & Boyn,9800,"$62,500,000.00",1,,,,
BAR7190,Barnes & Thornburg,Barnes & Thornburg,185,"$60,900,000.00",4,,,,
PRY8916,Pryor Cashman,Pryor Cashman,6905,"$60,200,000.00",9,,,,
,,"Becker, Glynn, Muffly, Chassin & Hosinski",5270,"$60,008,167.00",1,,,,
,,Beijing H&J Law Firm,10096,"$60,000,000.00",1,,,,
,,Fujian Hezhong Tiancheng Law Firm,10097,"$60,000,000.00",1,,,,
,,"Bridgford, Gleason & Artinian",9578,"$60,000,000.00",1,,,,
,,CMS Cameron McKenna Nabarro Olswang,9221,"$59,000,000.00",1,,,,
,,"Gentry, Tipton & McLemore",9857,"$59,000,000.00",1,,,,
BRE7778,,"Brennan, Manna & Diamond",10005,"$58,431,000.00",1,,,,
,,Dwyer Murphy Calvert,8651,"$58,400,000.00",2,,,,
SHU6100,,Shulman Rogers Gandal Pordy & Ecker,7463,"$58,000,000.00",1,,,,
,,Peterson Russell Kelly Livengood,6565,"$55,500,000.00",2,,,,
SAX6166,,Saxton & Stump,9776,"$55,000,000.00",1,,,,
,,Shuffield Lowman,4595,"$54,600,000.00",1,,,,
,,Fragner Seifert Pace & Winograd,8314,"$54,000,000.00",1,,,,
,,Jean M. Roche & Associates,7960,"$53,990,010.00",1,,,,
KUT7771,Kutak Rock,Kutak Rock,1509,"$52,789,425.00",1,,,,
FRE4982,Freeborn & Peters,Freeborn & Peters,5199,"$52,000,000.00",1,,,,
,,"Daniel W. Small, Law Offices of",6578,"$51,900,000.00",1,,,,
,,Carman Lehnhof Israelsen,7655,"$51,750,000.00",1,,,,
SMI9552,SmithAmundsen,SmithAmundsen,7894,"$51,350,000.00",2,,,,
,,HHS Avocat,9698,"$51,000,000.00",1,,,,
,,Bevilacqua,7220,"$50,047,845.00",8,,,,
SEY4818,Seyfarth,Seyfarth Shaw,2317,"$50,000,000.00",2,,,,
,,TangoLaw,7636,"$50,000,000.00",1,,,,
,,Kunzler Bean & Adamson,9876,"$50,000,000.00",1,,,,
,,Holman Fenwick Willan,10203,"$50,000,000.00",1,,,,
,,LglBiz,9511,"$50,000,000.00",1,,,,
,,"Zysman, Aharoni, Gayer & Co.",9321,"$50,000,000.00",2,,,,
,,Shook Lin & Bok,9596,"$50,000,000.00",1,,,,
,,Mark Anchor Albert & Associates,9877,"$50,000,000.00",1,,,,
,,DL Corporate & Regulatory,10204,"$50,000,000.00",1,,,,
PAR6184,Parsons Behle,Parsons Behle & Latimer,1997,"$49,400,000.00",3,,,,
,,Otten Johnson Robinson Neff + Ragonetti,1962,"$48,700,000.00",1,,,,
JOH5929,,Johnson Pope Bokor Ruppel Burns,1360,"$48,000,000.00",1,,,,
,,Amit Pollak Matalon,69,"$48,000,000.00",1,,,,
,,Hassan and Cables,9845,"$47,000,000.00",1,,,,
,,Miller Shah,9899,"$47,000,000.00",1,,,,
MIL6078,Miller & Martin,Miller & Martin,1772,"$46,800,000.00",2,,,,
,,Stahl & Kessler,9797,"$45,400,000.00",1,,,,
,,"Goering, Schmiegelt & Fischer",9798,"$45,400,000.00",1,,,,
ROB2311,Robinson & Cole,Robinson+Cole,2179,"$44,300,000.00",4,,,,
,,ESOP Law Group,10119,"$44,000,000.00",1,,,,
,,GCA Law Partners,4928,"$43,882,114.00",1,,,,
,,Anthony L.G.,9215,"$43,164,039.00",13,,,,
POY7301,,Poyner Spruill,7207,"$43,000,000.00",1,,,,
,,Pickering & Cotogno,9436,"$43,000,000.00",1,,,,
,,Litwin Law,9687,"$42,000,000.00",1,,,,
,,Gurnee Mason Rushford Bonotto & Forestiere,9579,"$41,400,000.00",1,,,,
RUS3068,,Ruskin Moscou Faltischek,2222,"$41,020,640.00",5,,,,
,,LaBarge Weinstein,4980,"$40,355,000.00",3,,,,
MUN4377,Munsch Hardt,Munsch Hardt Kopf & Harr,7331,"$40,000,000.00",2,,,,
,,Levi Laurenti,10043,"$40,000,000.00",1,,,,
